ÀÏÀÚ,¼Û±Ý,,ÇöÂû,,¸Å¸Å±âÁØÀ²,±âÁØÈ¯À²,´ë¹ÌÈ¯»êÀ²
,º¸³»½Ç¶§,¹ÞÀ¸½Ç¶§,»ç½Ç¶§,ÆÄ½Ç¶§,(ÀüÀÏ´ëºñ),,
2023.12.29,"1,313.10","1,287.90","1,323.25","1,277.75","1,300.50»ó½Â11.50","1,289.40",1.0000
2023.12.28,"1,301.50","1,276.50","1,311.55","1,266.45","1,289.00ÇÏ¶ô-6.00","1,294.40",1.0000
2023.12.27,"1,307.50","1,282.50","1,317.66","1,272.34","1,295.00ÇÏ¶ô-3.00","1,296.80",1.0000
2023.12.26,"1,310.50","1,285.50","1,320.71","1,275.29","1,298.00ÇÏ¶ô-3.00","1,300.70",1.0000
2023.12.22,"1,313.60","1,288.40","1,323.76","1,278.24","1,301.00»ó½Â2.00","1,303.80",1.0000
2023.12.21,"1,311.60","1,286.40","1,321.73","1,276.27","1,299.00ÇÏ¶ô-3.00","1,300.20",1.0000
2023.12.20,"1,314.60","1,289.40","1,324.78","1,279.22","1,302.00ÇÏ¶ô-3.50","1,304.70",1.0000
2023.12.19,"1,318.10","1,292.90","1,328.34","1,282.66","1,305.50»ó½Â4.00","1,298.70",1.0000
2023.12.18,"1,314.10","1,288.90","1,324.27","1,278.73","1,301.50ÇÏ¶ô-1.50","1,294.70",1.0000
2023.12.15,"1,315.60","1,290.40","1,325.80","1,280.20","1,303.00»ó½Â9.00","1,295.60",1.0000
2023.12.14,"1,306.50","1,281.50","1,316.64","1,271.36","1,294.00ÇÏ¶ô-26.00","1,316.50",1.0000
2023.12.13,"1,332.80","1,307.20","1,343.10","1,296.90","1,320.00»ó½Â2.00","1,315.70",1.0000
2023.12.12,"1,330.70","1,305.30","1,341.06","1,294.94","1,318.00ÇÏ¶ô-3.00","1,318.30",1.0000
2023.12.11,"1,333.80","1,308.20","1,344.11","1,297.89","1,321.00»ó½Â0.50","1,307.90",1.0000
2023.12.08,"1,333.30","1,307.70","1,343.60","1,297.40","1,320.50ÇÏ¶ô-0.50","1,322.70",1.0000
2023.12.07,"1,333.80","1,308.20","1,344.11","1,297.89","1,321.00»ó½Â6.00","1,312.40",1.0000
2023.12.06,"1,327.70","1,302.30","1,338.01","1,291.99","1,315.00","1,311.70",1.0000
2023.12.05,"1,327.70","1,302.30","1,338.01","1,291.99","1,315.00»ó½Â7.00","1,301.80",1.0000
2023.12.04,"1,320.60","1,295.40","1,330.89","1,285.11","1,308.00»ó½Â3.00","1,303.20",1.0000
2023.12.01,"1,317.60","1,292.40","1,327.83","1,282.17","1,305.00»ó½Â4.50","1,290.40",1.0000
2023.11.30,"1,313.10","1,287.90","1,323.25","1,277.75","1,300.50»ó½Â7.00","1,289.00",1.0000
2023.11.29,"1,306.00","1,281.00","1,316.13","1,270.87","1,293.50ÇÏ¶ô-3.50","1,294.00",1.0000
2023.11.28,"1,309.50","1,284.50","1,319.69","1,274.31","1,297.00ÇÏ¶ô-7.00","1,304.70",1.0000
2023.11.27,"1,316.60","1,291.40","1,326.82","1,281.18","1,304.00ÇÏ¶ô-3.00","1,302.10",1.0000
2023.11.24,"1,319.60","1,294.40","1,329.87","1,284.13","1,307.00»ó½Â5.00","1,298.70",1.0000
2023.11.23,"1,314.60","1,289.40","1,324.78","1,279.22","1,302.00ÇÏ¶ô-1.50","1,295.70",1.0000
2023.11.22,"1,316.10","1,290.90","1,326.31","1,280.69","1,303.50»ó½Â12.50","1,287.70",1.0000
2023.11.21,"1,303.50","1,278.50","1,313.59","1,268.41","1,291.00ÇÏ¶ô-3.00","1,292.40",1.0000
2023.11.20,"1,306.50","1,281.50","1,316.64","1,271.36","1,294.00ÇÏ¶ô-3.00","1,294.40",1.0000
2023.11.17,"1,309.50","1,284.50","1,319.69","1,274.31","1,297.00»ó½Â3.50","1,303.90",1.0000
2023.11.16,"1,306.00","1,281.00","1,316.13","1,270.87","1,293.50ÇÏ¶ô-11.00","1,302.00",1.0000
2023.11.15,"1,317.10","1,291.90","1,327.32","1,281.68","1,304.50ÇÏ¶ô-7.50","1,325.30",1.0000
2023.11.14,"1,324.70","1,299.30","1,334.96","1,289.04","1,312.00ÇÏ¶ô-14.00","1,322.70",1.0000
