"국가(통화단위)별",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"대한민국(Won)",-,-,-,-,-,-,-,-,-,-,712.05,733.83,781.09,802.75,803.46,770.94,805.13,953.58,1394.97,1188.65,1131.12,1290.99,1250.65,1191.85,1143.74,1024.13,955.08,929.16,1103.36,1276.35,1156,1107.99,1126.76,1095.04,1053.12,1131.52,1160.41,1130.48,1100.58,1166.11,1180.01,1144.61,1292.2
"바레인(Dinar)",0.377,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376
"브루나이(B$)",2.14121,2.11269,2.14002,2.11305,2.13308,2.20015,2.17742,2.10598,2.01243,1.95026,1.81253,1.72755,1.62897,1.61579,1.52744,1.41738,1.41004,1.48481,1.6736,1.69496,1.72396,1.79172,1.79059,1.74218,1.69023,1.6644,1.58893,1.5071,1.41717,1.45457,1.36351,1.25791,1.24957,1.25117,1.26704,1.37491,1.38135,1.38089,1.34892,1.36422,1.3797,1.34381,1.37896
"중국(Yuan)",1.49839,1.70454,1.89254,1.97567,2.32004,2.93666,3.45279,3.7221,3.7221,3.76511,4.78321,5.32339,5.51459,5.76196,8.61874,8.35142,8.31418,8.28982,8.27896,8.27825,8.2785,8.27707,8.27696,8.27704,8.2768,8.19432,7.97344,7.60753,6.94866,6.83142,6.77027,6.46146,6.31233,6.19576,6.14343,6.22749,6.64448,6.75876,6.61596,6.90839,6.90077,6.44898,6.73716
"홍콩(HK$)",4.97608,5.58933,6.06992,7.26517,7.818,7.79075,7.80333,7.79825,7.806,7.79992,7.78975,7.77117,7.74058,7.73558,7.72842,7.73583,7.73425,7.74208,7.74533,7.7575,7.79117,7.79875,7.79892,7.78675,7.788,7.77733,7.76783,7.80142,7.78683,7.75175,7.76917,7.784,7.75642,7.756,7.75408,7.75175,7.76225,7.79325,7.8385,7.83592,7.75725,7.77325,7.83142
"인도네시아(Rupiah)",626.994,631.75667,661.42075,909.26483,1025.94483,1110.58,1282.56,1643.84833,1685.70417,1770.05917,1842.81333,1950.3175,2029.92083,2087.10387,2160.75368,2248.60798,2342.29629,2909.38,10013.6225,7855.15,8421.775,10260.85,9311.19167,8577.13333,8938.85,9704.74167,9159.31667,9141,9698.9625,10389.9375,9090.43333,8770.43333,9386.62917,10461.24,11865.2113,13389.41294,13308.3268,13380.83388,14236.93877,14147.67136,14582.20347,14308.1439,14849.85394
"일본(Yen)",226.74083,220.53583,249.07667,237.51167,237.5225,238.53583,168.51983,144.6375,128.15167,137.96442,144.7925,134.70667,126.65133,111.19779,102.20781,94.05958,108.77906,120.99086,130.9053,113.90681,107.7655,121.52895,125.38802,115.93346,108.19257,110.21821,116.29931,117.75353,103.35949,93.57009,87.77988,79.80702,79.79046,97.59566,105.94478,121.04403,108.7929,112.16614,110.42318,109.00967,106.77458,109.75432,131.49814
"쿠웨이트(Dinar)",0.2703,0.27879,0.28791,0.29148,0.29606,0.30075,0.29059,0.27866,0.27903,0.29378,0.28846,0.28427,0.29322,0.30184,0.29687,0.29845,0.29941,0.30335,0.30476,0.30441,0.30675,0.30668,0.30391,0.29801,0.2947,0.292,0.29018,0.28421,0.26883,0.28779,0.28661,0.27598,0.27994,0.28359,0.28457,0.30085,0.30214,0.30335,0.30196,0.30361,0.30623,0.30164,0.30625
"말레이시아(Ringgit)",2.17688,2.30412,2.33539,2.32125,2.34364,2.48304,2.58144,2.51964,2.61878,2.70884,2.70488,2.75007,2.54738,2.5741,2.62426,2.5044,2.51594,2.81319,3.92438,3.8,3.8,3.8,3.8,3.8,3.8,3.78709,3.66818,3.43757,3.33583,3.5245,3.22109,3.06,3.0888,3.15091,3.27286,3.9055,4.1483,4.30044,4.03513,4.14247,4.20348,4.1433,4.40108
"사우디아라비아(Riyals)",3.32674,3.38251,3.42817,3.45476,3.52381,3.62214,3.70625,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
